CODIGO;DESCRIPCION;FAMILIA;CANTIDAD;DEMANDA_APLICABLE;S_MIN;COMPRA_MIN;LOTE;PEDIR
100003;POWER COMPRIMIDOS 2.5KG HASTA 5KG;MEDICAMENTOS FARMACIA;6.0;8.29;5.0;1;1;0
100004;POWER COMPRIMIDOS 5KG HASTA 10KG;MEDICAMENTOS FARMACIA;7.0;26.25;15.0;1;1;8
100005;POWER COMPRIMIDOS 10KG HASTA 20KG;MEDICAMENTOS FARMACIA;10.0;4.39;3.0;1;1;0
100006;POWER COMPRIMIDOS 20KG HASTA 30 KG;MEDICAMENTOS FARMACIA;5.0;6.67;4.0;1;1;0
100007;POWER COMPRIMODOS 30KG HASTA 40KG;MEDICAMENTOS FARMACIA;4.0;1.5;1.0;1;1;0
10001;MOISES PIEL T1 BACHICHAS;ACCESORIOS;0.0;0.0;0.0;1;1;0
100018;TRIXIE COLLAR GATO TERCIOPELO/REFLECTANTE;ACCESORIOS;1.0;0.0;0.0;2;2;0
100031;COCOONING CAMA RECTANGULAR M AZUL 64X53;ACCESORIOS;1.0;0.0;0.0;1;1;0
100033;CARDIOZEPRIL 5 MG X BLISTER;MEDICAMENTOS FARMACIA;4.0;6.34;4.0;1;1;0
100036;MISTER HUESO CUCHA NORDICA;ACCESORIOS;0.0;0.0;0.0;1;1;0
10005;COLCHON ECONOMICO 70X90 BACHICHAS;ACCESORIOS;0.0;0.0;0.0;1;1;0
100056;RDB JUGUETE PLATO;ACCESORIOS;1.0;0.0;0.0;1;1;0
10006;OTROS ACCESORIOS;ACCESORIOS;0.0;3.75;3.0;1;1;3
100061;RDB RASCADOR DE ALGODON 50 CM.;ACCESORIOS;2.0;0.0;0.0;1;1;0
100064;CARDIOZEPRIL 20 MG X BLISTER;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;2;2;0
100066;PORTA HUESO PLASTICO DURA BONE S;ACCESORIOS;2.0;0.0;0.0;1;1;0
10007;PER-ROS BUZO;ACCESORIOS;0.0;0.0;0.0;1;1;0
10008;NACIONAL ENTERITO CAMUFLADO;ACCESORIOS;0.0;0.0;0.0;1;1;0
100082;X 1.6 ANIMAL PET COMEDERO DOBLE MELAMINA C/BOWL ACERO INOX S-M;ACCESORIOS;1.0;0.0;0.0;1;1;0
100086;OHM X 21 COMPRIMIDOS;MEDICAMENTOS FARMACIA;3.0;17.57;10.0;1;1;7
100105;CAT CHOW POUCH 85G;BALANCEADOS;186.0;142.34;81.0;30;15;0
100106;RDB MANTA GEL FRIO REDONDA 60 CM.;ACCESORIOS;1.0;0.0;0.0;1;1;0
100110;PIEDRAS SANITARIAS TIDY CATS 2 KG;ACCESORIOS;0.0;0.0;0.0;1;1;0
100111;NACIONAL MORDILLO;ACCESORIOS;0.0;0.0;0.0;1;1;0
100112;RDB CHIFLE GALLINA CHICO;ACCESORIOS;2.0;0.0;0.0;1;1;0
100114;RDB CHIFLE;ACCESORIOS;1.0;0.0;0.0;1;1;0
100115;PER-ROS BOLSO TOUCHDOG L;ACCESORIOS;0.0;0.0;0.0;1;1;0
100117;BOLSO ESPACIAL TRICOLOR 46X26X22 PER-ROS;ACCESORIOS;0.0;0.0;0.0;1;1;0
100120;MR HUESO COLLAR AHORQUE METAL;ACCESORIOS;1.0;0.0;0.0;1;1;0
100136;PER-ROS MOCHILA TIPO MORRAL;ACCESORIOS;0.0;0.0;0.0;1;1;0
100140;CATIT PLAY CIRCUIT 2.0;ACCESORIOS;3.0;0.0;0.0;1;1;0
10015;RDB BANDEJA SANITARIA ALTA CON PALA 42x30x18 cm.;ACCESORIOS;0.0;0.0;0.0;2;2;0
100158;POLAR LISO 40;ACCESORIOS;0.0;0.0;0.0;1;1;0
10016;CORREA FLEXI DESIGN M CORDON 5M Hasta 20 Kg;ACCESORIOS;0.0;0.0;0.0;1;1;0
100160;POLAR LISO 50;ACCESORIOS;0.0;0.0;0.0;1;1;0
10017;DIMBO ROPA FANTASIA T 8;ACCESORIOS;0.0;0.0;0.0;1;1;0
100173;COCOONING CAMA OVAL S AZUL 43X41;ACCESORIOS;0.0;0.0;0.0;1;1;0
100174;X 1.6 COCOONING COMEDERO OBLIK SUPREME SMOKY QUARTZ 405 ML;ACCESORIOS;1.0;0.0;0.0;1;1;0
10018;DIMBO ROPA FANTASIA T 5;ACCESORIOS;0.0;0.0;0.0;1;1;0
100180;NACIONAL COLCHONETA ANTIDESGARRO Nº3;ACCESORIOS;0.0;1.92;2.0;2;1;2
10019;DIMBO POLAR LISO T10;ACCESORIOS;0.0;0.0;0.0;1;1;0
100198;PER-ROS BOZAL REJILLA PLASTICO Nº3;ACCESORIOS;3.0;0.0;0.0;1;1;0
100202;COMEDERO ANTIDESLIZANTE;ACCESORIOS;2.0;0.91;1.0;4;2;0
100206;BIG CHEW KNOT POLLO XL;ACCESORIOS;0.0;0.0;0.0;1;1;0
100207;DURA CHEW ORIGINAL L;ACCESORIOS;0.0;0.0;0.0;1;1;0
100208;DURA CHEW WISHBONE ORIGINAL S;ACCESORIOS;0.0;0.0;0.0;1;1;0
100209;NYLA BAGUETTE POLLO GIGANTE;ACCESORIOS;0.0;0.0;0.0;1;1;0
10021;ROPA FANTASIA SOFT TALLE 12;ACCESORIOS;0.0;0.0;0.0;1;1;0
100210;DURA CHEW X-BONE CARNE L;ACCESORIOS;1.0;0.0;0.0;1;1;0
100217;COMEDERO BEBEDERO AUTOMATICO BAUPARK;ACCESORIOS;1.0;0.0;0.0;1;1;0
100224;PER-ROS MUSCULOSA T3-T5;ACCESORIOS;0.0;0.0;0.0;4;4;0
100228;TRAIN-E PAÑO DE ENTRENAMIENTO 50 UNI. 45x60 cm.;ACCESORIOS;1.0;0.0;0.0;2;2;0
10023;DIMBO ROPA POLAR FANTASIA SOFT TALLE 7;ACCESORIOS;0.0;0.0;0.0;1;1;0
100233;ARNES REFORZADO C/MANIJA MEDIANO PER-ROS;ACCESORIOS;0.0;0.0;0.0;1;1;0
100236;RAMA NATURAL ANTIASTILLA ANTI PLACA BACTERIANA;ACCESORIOS;1.0;0.0;0.0;1;1;0
100237;PER-ROS ARNES REFORZADO C/MANIJA G;ACCESORIOS;0.0;0.0;0.0;1;1;0
10024;DIMBO ROPA POLAR FANTASIA TALLE 6;ACCESORIOS;0.0;0.0;0.0;1;1;0
100242;FURMINATOR CEPILLO PARA PERRO PELO LARGO S;ACCESORIOS;1.0;0.0;0.0;1;1;0
10025;DIMBO ROPA POLAR FANTASIA TALLE 3;ACCESORIOS;0.0;0.0;0.0;1;1;0
100250;FAJA POST OPERATORIO CON APOSITO L;ACCESORIOS;0.0;0.0;0.0;1;1;0
100257;CATIT PELOTA ROMBO;ACCESORIOS;1.0;0.0;0.0;2;2;0
10026;DIMBO ROPA POLAR FANTASIA SOFT TALLE 4;ACCESORIOS;0.0;0.0;0.0;1;1;0
100260;CEPILLO P/PERRO PELO LARGO XL FURMINATOR;ACCESORIOS;0.0;0.0;0.0;1;1;0
100268;NACIONAL POLAR SOFT T 8;ACCESORIOS;3.0;0.0;0.0;1;1;0
100269;CAMITA RECTANGULAR HIDROFUGA KING;ACCESORIOS;0.0;0.0;0.0;1;1;0
10027;RDB RASCADOR PARIS;ACCESORIOS;0.0;2.0;2.0;1;1;2
100278;VITALCAN BALANCED CERDO Y ARROZ 15 Kg;BALANCEADOS;0.0;0.0;0.0;1;1;0
100279;VITALCAN BALANCED CERDO Y ARROZ 3 Kg;BALANCEADOS;7.0;0.35;1.0;1;1;0
10028;MILLEX CAMITA HIDROFUGA KING 9203E;ACCESORIOS;0.0;0.0;0.0;1;1;0
100280;PER-ROS ARNES CHALECO Nº5;ACCESORIOS;1.0;0.0;0.0;1;1;0
100281;PER-ROS ARNES CHALECO Nº3;ACCESORIOS;0.0;0.0;0.0;1;1;0
100282;PER-ROS ARNES PIE DE POULE XL;ACCESORIOS;0.0;0.0;0.0;1;1;0
100285;PER-ROS ARNES CHALECO Nº 6;ACCESORIOS;2.0;0.0;0.0;1;1;0
100286;ARNES TIPO CHALECO JEAN XL PERROS;ACCESORIOS;0.0;0.0;0.0;1;1;0
100293;PER-ROS ARNES ESCOCES S;ACCESORIOS;2.0;0.0;0.0;2;2;0
100299;CANGURO PLUSH LOVE TALLE XL PER-ROS;ACCESORIOS;0.0;0.0;0.0;1;1;0
100300;CANGURO PLUSH LOVE TALLE XXL PER-ROS;ACCESORIOS;0.0;0.0;0.0;1;1;0
100319;PIEDRAS SANITARIAS ECOLIGHT X 3.6KG;ACCESORIOS;15.0;10.09;6.0;6;6;0
10032;SENIOR JACK CHALECO ELASTIZADO ESTAMPADO L;ACCESORIOS;0.0;0.0;0.0;1;1;0
100321;VITALCAT NUTRIQUE BABY & KITTEN 2 Kg;BALANCEADOS;0.0;0.0;0.0;1;1;0
